Sheet,Reference,Pin,Function,Net,Status,Source
01_POWER,U6,1,TS,BAT_NTC,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,2,BAT,VBAT,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,3,BAT,VBAT,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,4,CE_N,GND,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,5,EN2,SYS,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,6,EN1,GND,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,7,PGOOD_N,PGOOD,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,8,VSS,GND,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,9,CHG_N,CHG_STATUS,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,10,OUT,SYS,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,11,OUT,SYS,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,12,ILIM,CHG_ILIM,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,13,IN,VBUS_5V,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,14,TMR,NC,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,15,ITERM,NC,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,16,ISET,CHG_ISET,PIN VERIFIED; draft circuit,bq24074
01_POWER,U6,EP,THERMAL_PAD,GND,PIN VERIFIED; draft circuit,bq24074
01_POWER,U7,1,PS_SYNC,DCDC_CTRL,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,2,PG,DCDC_PG,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,3,VAUX,DCDC_VAUX,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,4,GND,GND,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,5,FB,DCDC_FB,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,6,FB2,NC,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,7,VOUT,+3V3_SYS,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,8,VOUT,+3V3_SYS,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,9,L2,DCDC_L2,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,10,PGND,GND,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,11,L1,DCDC_L1,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,12,VIN,SYS,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,13,VIN,SYS,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,14,EN,DCDC_CTRL,PIN VERIFIED; draft circuit,tps63070
01_POWER,U7,15,VSEL,GND,PIN VERIFIED; draft circuit,tps63070
01_POWER,U8,1,IN,+3V3_SYS,PIN VERIFIED; draft circuit,tlv755p
01_POWER,U8,2,GND,GND,PIN VERIFIED; draft circuit,tlv755p
01_POWER,U8,3,EN,+3V3_SYS,PIN VERIFIED; draft circuit,tlv755p
01_POWER,U8,4,NC,NC,PIN VERIFIED; draft circuit,tlv755p
