Reference,Qty,Category,Value,Manufacturer,MPN,Verified_Pins,Tier,Proposed_Package,LCSC_Search_Key,Blocker_Or_Note,LCSC_ID,JLC_DEVICE_UUID,JLC_SYMBOL,JLC_SYMBOL_UUID,JLC_FOOTPRINT,JLC_FOOTPRINT_UUID,DECISION
MIC1,1,Analog MEMS microphone,TBD_MIC bottom-port,TBD,TBD,0,BLOCKED_VALUE,待定,,D05,,,,,,,
U13,1,Backlight driver,LCD backlight driver TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D02,,,,,,,
C101,1,Capacitor,4.7u 16V,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),4.7u 16V 0402,D13：最终封装待确认,,,,,,,
C102,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C103,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C104,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C105,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C106,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C107,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C108,1,Capacitor,22u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C109,1,Capacitor,22u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C110,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C111,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C112,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C113,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C201,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C202,1,Capacitor,22u,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C203,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C204,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C205,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C206,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C207,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
